time,tug_id,B,C,D,E,F,G,H,M
4200,23,50.1,50.0,50.1,50.0,50.0,50.0,50.0,50.0
4200,24,50.1,50.0,50.1,50.0,50.0,50.0,50.0,50.0
4200,25,50.1,50.0,50.1,50.0,50.0,50.0,50.0,50.0
4200,26,50.1,50.0,50.1,50.0,50.0,50.0,50.0,50.0
4200,27,50.1,50.0,50.1,50.0,50.0,50.0,50.0,50.0
4200,28,48.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
4800,0,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
4800,1,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
4800,2,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
4800,3,50.1,50.0,50.1,50.0,50.0,50.0,48.1,50.0
4800,4,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
4800,5,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
4800,6,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
4800,7,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
4800,8,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
4800,9,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
4800,10,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
4800,11,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
4800,12,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
4800,13,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
4800,14,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
4800,15,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
4800,16,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
4800,17,50.1,50.0,48.0,50.0,50.0,50.0,50.2,50.0
4800,18,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
4800,19,50.1,50.0,50.1,50.0,50.0,50.0,48.0,50.0
4800,20,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
4800,21,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
4800,22,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
4800,23,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
4800,24,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
4800,25,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
4800,26,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
4800,27,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
4800,28,48.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
5400,0,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
5400,1,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
5400,2,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
5400,3,50.1,50.0,50.1,50.0,50.0,50.0,48.1,50.0
5400,4,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
5400,5,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
5400,6,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
5400,7,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
5400,8,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
5400,9,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
5400,10,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
5400,11,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
5400,12,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
5400,13,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
5400,14,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
5400,15,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
5400,16,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
5400,17,50.1,50.0,48.0,50.0,50.0,50.0,50.2,50.0
5400,18,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
5400,19,50.1,50.0,50.1,50.0,50.0,50.0,48.0,50.0
5400,20,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
5400,21,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
5400,22,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
5400,23,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
5400,24,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
5400,25,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
5400,26,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
5400,27,50.1,50.0,50.1,50.0,50.0,50.0,50.2,50.0
5400,28,48.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
6000,0,50.1,50.0,50.1,50.0,50.1,50.0,50.2,50.0
6000,1,50.1,50.0,50.1,50.0,50.1,50.0,50.2,50.0
6000,2,50.1,50.0,50.1,50.0,50.1,50.0,50.2,50.0
6000,3,50.1,50.0,50.1,50.0,50.0,50.0,48.1,50.0
6000,4,50.1,50.0,50.1,50.0,50.1,50.0,50.2,50.0
6000,5,50.1,50.0,50.1,50.0,50.1,50.0,50.2,50.0
6000,6,50.1,50.0,50.1,50.0,50.1,50.0,50.2,50.0
6000,7,50.1,50.0,50.1,50.0,50.1,50.0,50.2,50.0
6000,8,50.1,50.0,50.1,50.0,50.1,50.0,50.2,50.0
6000,9,50.1,50.0,50.1,50.0,50.1,50.0,50.2,50.0
6000,10,50.1,50.0,50.1,50.0,50.1,50.0,50.2,50.0
6000,11,50.1,50.0,50.1,50.0,50.1,50.0,50.2,50.0
